,param_layers,param_nodes,param_filters,mean_test_score,std_test_score,test_score,split0_test_score,split1_test_score,split2_test_score
0,0,100,1,0.9091833432515463,7.72736973693887e-05,0.9072999954223633,0.9092249870300293,0.909250020980835,0.9090750217437744
1,1,100,1,0.9214333295822144,0.003741468217346663,0.9075000286102295,0.9243249893188477,0.9161499738693237,0.9238250255584717
2,1,250,1,0.924999992052714,0.0034507735919781382,0.910099983215332,0.9214500188827515,0.9238749742507935,0.9296749830245972
3,1,500,1,0.9305750131607056,0.001978945804429599,0.9190999865531921,0.9279000163078308,0.9326249957084656,0.9312000274658203
4,1,1000,1,0.9318333268165588,0.0011944809310071231,0.9106000065803528,0.9318749904632568,0.9332749843597412,0.9303500056266785
5,2,100,1,0.9240833520889282,0.0005720270294460452,0.9106000065803528,0.92330002784729,0.9246500134468079,0.9243000149726868
6,2,250,1,0.9261916677157084,0.002553926900110265,0.9150000214576721,0.9245250225067139,0.9242500066757202,0.9297999739646912
7,2,500,1,0.9291999936103821,0.0036878897134837263,0.9114000201225281,0.928974986076355,0.9338250160217285,0.9247999787330627
8,2,1000,1,0.9289249976476034,0.0011575921293357106,0.9121000170707703,0.9278249740600586,0.930525004863739,0.9284250140190125
9,0,100,2,0.9113666613896688,0.002247255345708684,0.9043999910354614,0.9089750051498413,0.9143750071525574,0.9107499718666077
10,1,100,2,0.9192249774932861,0.0024016452120692194,0.9122999906539917,0.9220749735832214,0.9161999821662903,0.9193999767303467
11,1,250,2,0.9251833359400431,0.0020371809567529334,0.9133999943733215,0.9262999892234802,0.9223250150680542,0.926925003528595
12,1,500,2,0.9263333280881246,0.0021284070255578507,0.9071999788284302,0.9233250021934509,0.9279249906539917,0.9277499914169312
13,1,1000,2,0.925391674041748,0.00328888851832904,0.9124000072479248,0.9211750030517578,0.9258000254631042,0.9291999936103821
14,2,100,2,0.9214583436648051,0.0015548625389310373,0.916700005531311,0.9207000136375427,0.9236249923706055,0.9200500249862671
15,2,250,2,0.9246833324432373,0.0009958981779867025,0.9139999747276306,0.9232749938964844,0.9253749847412109,0.9254000186920166
16,2,500,2,0.9233000079790751,0.0058781822341177755,0.9118000268936157,0.915024995803833,0.9267500042915344,0.9281250238418579
17,2,1000,2,0.924791673819224,0.0012145475662171587,0.9088000059127808,0.92330002784729,0.9262750148773193,0.9247999787330627
18,0,100,3,0.9014250040054321,0.003557104755096519,0.8982999920845032,0.8964999914169312,0.902999997138977,0.9047750234603882
19,1,100,3,0.9028166731198629,0.003574070571436325,0.8956999778747559,0.9006999731063843,0.8999000191688538,0.9078500270843506
20,1,250,3,0.9053000013033549,0.001226940026116665,0.8912000060081482,0.9046000242233276,0.9042750000953674,0.9070249795913696
21,1,500,3,0.9020833174387614,0.0015974331954708633,0.8978000283241272,0.9002249836921692,0.9041249752044678,0.9018999934196472
22,1,1000,3,0.9038083155949911,0.0010050534310458543,0.8986999988555908,0.902999997138977,0.9052249789237976,0.9031999707221985
23,2,100,3,0.9036083420117696,0.004108356747783177,0.8978999853134155,0.9055250287055969,0.8978999853134155,0.9074000120162964
24,2,250,3,0.9012083212534586,0.003545035540500529,0.8924999833106995,0.8962249755859375,0.9041749835014343,0.9032250046730042
25,2,500,3,0.9041166504224142,0.0038055349095154657,0.8896999955177307,0.8987500071525574,0.9064499735832214,0.9071499705314636
26,2,1000,3,0.9037833412488302,0.0043877978464672805,0.8945000171661377,0.9079750180244446,0.9056500196456909,0.897724986076355
