,param_layers,param_nodes,test_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score
20,1,100,0.8820000290870667,0.8928166627883911,0.0016655085486220254,0.8946999907493591,0.8931000232696533,0.8906499743461609
21,1,250,0.8906999826431274,0.9013166824976603,0.004787230683821641,0.8947250247001648,0.9032750129699707,0.9059500098228455
22,1,500,0.8906000256538391,0.909208337465922,0.0012787309064239013,0.9081000089645386,0.9085249900817871,0.9110000133514404
23,1,1000,0.8919000029563904,0.9086749951044718,0.0018146308094673252,0.906125009059906,0.9101999998092651,0.9096999764442444
24,1,2000,0.8971999883651733,0.9074083566665649,0.0005643349531691119,0.9082000255584717,0.9069250226020813,0.9071000218391418
0,2,100,0.8876000046730042,0.9042333364486694,0.002677232381199604,0.9034749865531921,0.9014000296592712,0.9078249931335449
1,2,250,0.8909000158309937,0.9129416743914286,0.002780312461634853,0.916450023651123,0.9127249717712402,0.9096500277519226
2,2,500,0.8863999843597412,0.9178916811943054,0.0012878239386408135,0.9168000221252441,0.9171749949455261,0.919700026512146
3,2,1000,0.8945000171661377,0.9147916634877523,0.003153859239333144,0.9120000004768372,0.9131749868392944,0.9192000031471252
4,2,2000,0.8881999850273132,0.9159249862035116,0.0028620216764488745,0.9120500087738037,0.9168499708175659,0.918874979019165
5,5,100,0.887499988079071,0.909416675567627,0.002066025084632027,0.9065250158309937,0.9112250208854675,0.9104999899864197
6,5,250,0.8928999900817871,0.9139750003814697,0.0032311559723791064,0.9095500111579895,0.9151999950408936,0.9171749949455261
7,5,500,0.8892999887466431,0.913783331712087,0.002102814692910888,0.9110249876976013,0.9142000079154968,0.9161249995231628
8,5,1000,0.8952999711036682,0.9121333360671997,0.002198508254568101,0.9090250134468079,0.9136250019073486,0.9137499928474426
9,5,2000,0.8924999833106995,0.9120583136876425,0.000804240424020907,0.9109749794006348,0.9122999906539917,0.9128999710083008
10,10,100,0.8906000256538391,0.9044250051180521,0.0023389158789874566,0.9012249708175659,0.9053000211715698,0.9067500233650208
11,10,250,0.887499988079071,0.9057250022888184,0.0009016208861802539,0.9050750136375427,0.9070000052452087,0.9050999879837036
12,10,500,0.8889999985694885,0.903416653474172,0.0005189625058352718,0.9030249714851379,0.9041500091552734,0.9030749797821045
13,10,1000,0.8906999826431274,0.8951166669527689,0.008447285104145096,0.9013749957084656,0.8831750154495239,0.9007999897003174
14,10,2000,0.8939999938011169,0.8978666464487711,0.012340812365054675,0.8805999755859375,0.9042999744415283,0.9086999893188477
15,15,100,0.885200023651123,0.8865500092506409,0.005553824530647715,0.8846499919891357,0.89410001039505,0.8809000253677368
16,15,250,0.8747000098228455,0.8841249942779541,0.0049783468653801805,0.8847249746322632,0.8899000287055969,0.8777499794960022
17,15,500,0.8895999789237976,0.8149750034014384,0.041747997722638895,0.8125500082969666,0.7651000022888184,0.8672749996185303
18,15,1000,0.8815000057220459,0.8563500046730042,0.04677351117344909,0.881974995136261,0.7907249927520752,0.8963500261306763
19,15,2000,0.8873999714851379,0.8746833403905233,0.01660604830544416,0.8596500158309937,0.8978250026702881,0.8665750026702881
